object_class,x,y,640_label,488_label,in_640,in_488,distance,area_ratio,area_warning,area_640,area_488
shared,35.42948717948718,153.99871794871797,13.0,16.0,True,True,1.251623534740093,1.384615384402367,False,90.0,65.0
shared,153.37283950617285,320.4864197530864,23.0,30.0,True,True,1.3578451059709116,1.1111111109739369,False,81.0,90.0
shared,78.34821428571428,662.3244047619048,46.0,54.0,True,True,1.3787184311786178,1.333333333015873,False,56.0,42.0
shared,61.43636363636364,529.5151515151515,37.0,45.0,True,True,1.3973081822227251,1.1363636361914602,False,75.0,66.0
shared,195.25505747126437,487.02436781609197,36.0,43.0,True,True,1.3993657850410337,1.739999999652,False,87.0,50.0
shared,158.78205128205127,197.95173453996983,18.0,22.0,True,True,1.4096658735673593,1.307692307357002,False,51.0,39.0
shared,174.03333333333333,682.5,47.0,55.0,True,True,1.4391355429948205,1.6666666648148147,False,9.0,15.0
shared,19.279297954671087,572.2330016583749,40.0,49.0,True,True,1.5427037142018798,1.2407407405109738,False,67.0,54.0
shared,2.8953846153846152,221.70153846153846,20.0,25.0,True,True,1.6652380464904477,1.29999999974,False,65.0,50.0
shared,194.4612603305785,212.8512396694215,19.0,24.0,True,True,1.7336893079661804,1.6805555553221452,False,121.0,72.0
shared,36.37589285714286,374.8276785714286,29.0,35.0,True,True,1.7791038359757931,1.3999999998250001,False,112.0,80.0
shared,61.82518796992481,17.576799140708914,4.0,4.0,True,True,1.855918389228808,1.289473683871191,False,49.0,38.0
shared,36.05081300813008,410.81927506775065,30.0,37.0,True,True,1.884553782044453,1.7560975605472933,False,72.0,41.0
shared,269.65547965547967,539.5271755271756,38.0,46.0,True,True,1.9076947527922075,1.22972972956355,False,91.0,74.0
shared,9.214473684210526,266.10078947368424,21.0,28.0,True,True,1.9572801808558464,1.3157894735110804,False,100.0,76.0
shared,250.7378866440193,14.501638953453721,2.0,2.0,True,True,1.9613081726478814,1.1848739494802627,False,141.0,119.0
shared,19.033431180691455,436.6094259621657,32.0,39.0,True,True,1.967159967650493,1.1506849313492213,False,84.0,73.0
shared,104.52683752417795,4.498267246937459,1.0,1.0,True,True,1.9849103669867996,1.602272727090651,False,141.0,88.0
shared,422.2302989130435,89.42527173913044,8.0,8.0,True,True,2.0066407686738086,2.8749999991015622,False,92.0,32.0
shared,357.7941176470588,345.5220588235294,24.0,31.0,True,True,2.042424182140501,1.6764705879887545,False,114.0,68.0
shared,290.4882758620689,138.00620689655173,11.0,13.0,True,True,2.0448456125273924,1.7241379304399524,False,50.0,29.0
shared,295.63253012048193,414.64651462994834,31.0,38.0,True,True,2.070698581102364,2.964285713227041,False,83.0,28.0
shared,49.58478682170542,147.3607073643411,12.0,15.0,True,True,2.0720474120566887,1.116279069507842,False,48.0,43.0
shared,376.2332375478927,659.639846743295,44.0,53.0,True,True,2.1833670853167977,2.4827586198335316,False,72.0,29.0
shared,278.5057397959184,364.09030612244896,27.0,34.0,True,True,2.1855503002805174,1.224999999846875,False,98.0,80.0
shared,313.92591362126245,192.5093023255814,16.0,20.0,True,True,2.1900656788873296,1.6279069763656029,False,70.0,43.0
shared,93.7078669154229,45.77814054726368,6.0,6.0,True,True,2.265015060543086,1.3958333330425348,False,67.0,48.0
shared,381.6492978566149,605.9209164818922,42.0,50.0,True,True,2.3836534365888133,1.6097560971683522,False,66.0,41.0
shared,44.91255411255411,12.91861471861472,3.0,3.0,True,True,2.466385090573545,1.8857142851755102,False,66.0,35.0
shared,250.07697893972403,99.0846042120552,9.0,9.0,True,True,2.5373603422857083,1.5882352938062283,False,81.0,51.0
shared,317.8610507246377,35.39655797101449,5.0,5.0,True,True,2.7460959762344492,1.72499999956875,False,69.0,40.0
shared,253.89182424916572,193.99471635150167,17.0,21.0,True,True,2.817034776997273,1.0689655170570749,False,62.0,58.0
640_only,340.17391304347825,46.0,7.0,,True,False,,,False,23.0,
640_only,271.19883040935673,143.0701754385965,10.0,,True,False,,,False,171.0,
640_only,120.175,159.05,14.0,,True,False,,,False,40.0,
640_only,402.5,174.4,15.0,,True,False,,,False,10.0,
640_only,32.0625,310.75,22.0,,True,False,,,False,64.0,
640_only,407.8780487804878,351.3292682926829,25.0,,True,False,,,False,82.0,
640_only,151.0,353.0,26.0,,True,False,,,False,65.0,
640_only,378.25,361.0,28.0,,True,False,,,False,4.0,
640_only,311.36,443.34,33.0,,True,False,,,False,100.0,
640_only,205.86885245901638,474.8196721311475,34.0,,True,False,,,False,61.0,
640_only,161.0487804878049,486.390243902439,35.0,,True,False,,,False,41.0,
640_only,184.85507246376812,551.4057971014493,39.0,,True,False,,,False,69.0,
640_only,257.9342105263158,584.828947368421,41.0,,True,False,,,False,76.0,
640_only,270.0,651.6470588235294,43.0,,True,False,,,False,17.0,
640_only,277.8888888888889,666.7195767195767,45.0,,True,False,,,False,189.0,
488_only,332.04761904761904,46.0,,7.0,False,True,,,False,,21.0
488_only,108.27272727272727,116.36363636363636,,10.0,False,True,,,False,,55.0
488_only,88.3157894736842,121.47368421052632,,11.0,False,True,,,False,,19.0
488_only,272.8789808917197,140.36305732484075,,12.0,False,True,,,False,,157.0
488_only,379.9318181818182,142.3181818181818,,14.0,False,True,,,False,,44.0
488_only,123.66666666666667,160.46153846153845,,17.0,False,True,,,False,,78.0
488_only,275.3636363636364,158.0909090909091,,18.0,False,True,,,False,,11.0
488_only,397.54,174.86,,19.0,False,True,,,False,,50.0
488_only,339.6,208.81,,23.0,False,True,,,False,,100.0
488_only,230.46,258.26,,26.0,False,True,,,False,,50.0
488_only,45.733333333333334,259.7,,27.0,False,True,,,False,,30.0
488_only,406.3292682926829,283.2560975609756,,29.0,False,True,,,False,,82.0
488_only,155.85106382978722,349.78723404255317,,32.0,False,True,,,False,,94.0
488_only,382.34285714285716,359.0571428571429,,33.0,False,True,,,False,,35.0
488_only,386.90384615384613,375.71153846153845,,36.0,False,True,,,False,,52.0
488_only,312.50943396226415,440.4339622641509,,40.0,False,True,,,False,,53.0
488_only,275.4754098360656,440.57377049180326,,41.0,False,True,,,False,,61.0
488_only,195.13793103448276,470.58620689655174,,42.0,False,True,,,False,,29.0
488_only,337.0686274509804,510.69607843137254,,44.0,False,True,,,False,,102.0
488_only,187.81034482758622,553.0344827586207,,47.0,False,True,,,False,,58.0
488_only,181.83333333333334,565.0,,48.0,False,True,,,False,,6.0
488_only,53.75,646.5,,51.0,False,True,,,False,,12.0
488_only,278.20348837209303,662.6802325581396,,52.0,False,True,,,False,,172.0
